stratum,repo,prA,prB,label,conflict_has_content,conflict_is_content_only,retrieved_at_utc,oid_scope,git_version,fetch_parameters,diff_parameters,api_headA_oid,api_headB_oid,headA_oid,headB_oid,baseA_oid,baseB_oid,merge_base_oid,filesA,hunksA,filesB,hunksB,status
cross,reeze/php-leveldb,52,54,CLEAN,false,false,2026-09-16T23:32:04.404282+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,16d37e9010d208a18715a40ef6a8ad62296fdf33,22791bedf00d44ed8e1a4a6cc2c869c85fb819f0,16d37e9010d208a18715a40ef6a8ad62296fdf33,22791bedf00d44ed8e1a4a6cc2c869c85fb819f0,70ecae7103dbfe0817740f1c2aeaed551e2f67f6,70ecae7103dbfe0817740f1c2aeaed551e2f67f6,70ecae7103dbfe0817740f1c2aeaed551e2f67f6,2,2,1,8,OK
cross,vercel/hyper-site,314,315,CONFLICT,true,false,2026-09-16T23:33:45.506178+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,d6b520839ff0857d0b70b2e278454586788c2b89,6ab07bc6a98f47c599db6f7c0b494cab54f7ca76,d6b520839ff0857d0b70b2e278454586788c2b89,6ab07bc6a98f47c599db6f7c0b494cab54f7ca76,23d7799e24abdc5ad78f4464bb361adb3cee6762,23d7799e24abdc5ad78f4464bb361adb3cee6762,23d7799e24abdc5ad78f4464bb361adb3cee6762,5,8,46,361,OK
cross,OHIF/Viewers,4958,5097,CONFLICT,true,true,2026-09-16T23:34:02.207605+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,676d3791e7b2c95648f2c31a4baefb5c3809d45c,3210e08e3df79d21c009e3597808ca8ecd244f62,676d3791e7b2c95648f2c31a4baefb5c3809d45c,3210e08e3df79d21c009e3597808ca8ecd244f62,a41ed3bade3befb510f64ed7fc5437279d8b05d4,8dda7d5f81a8539548ad66ced3a9ab632cf265a9,a41ed3bade3befb510f64ed7fc5437279d8b05d4,4,14,1129,3946,OK
cross,pytorch/pytorch,155658,157447,UNAVAIL_nobase,false,false,2026-09-16T23:34:41.982465+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,,,,,,,,,,,,UNAVAIL_nobase
cross,elsa-workflows/elsa-core,6669,6675,CLEAN,false,false,2026-09-16T23:34:41.982663+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,5df1b1d16bea11a4c94daccf65ab622b09aa3a39,59b574dfa2001b2b7b0d647fd248bd117a8e2fa4,5df1b1d16bea11a4c94daccf65ab622b09aa3a39,59b574dfa2001b2b7b0d647fd248bd117a8e2fa4,103063ee690a880313e8f0da0544c940772dc091,a0b1b299c71f06752643dc435379edee6f773cfd,f4ad11eb0fe7098c4d47d4a208dd26ac80ecb45d,3,3,1494,1648,OK
cross,shopware/shopware,10496,11072,CONFLICT,true,true,2026-09-16T23:34:51.472340+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,6246dbbaeb85ce2ffe7c8e1fe4c779a25c787a57,53576e1062824b49de4dff0b53854060f479b9f2,6246dbbaeb85ce2ffe7c8e1fe4c779a25c787a57,53576e1062824b49de4dff0b53854060f479b9f2,54f3b198641e50103126a4707561fa64599b769a,c6efcfe498b23900d3a66fa20bd64be20bf64255,c6efcfe498b23900d3a66fa20bd64be20bf64255,2301,6563,3,5,OK
cross,superfly/flyctl,4456,4463,CONFLICT,true,true,2026-09-16T23:35:03.450376+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,60475577e5099a61eaf5fea69be53f29a3bc5058,15a543882cbad0c9348640cffdd71fb71ac34953,60475577e5099a61eaf5fea69be53f29a3bc5058,15a543882cbad0c9348640cffdd71fb71ac34953,1dc18d2ee19ad2f501a95a0958489766925dd4a4,b66a33df98448a0cab5435f219e06c54ff1fc97b,1dc18d2ee19ad2f501a95a0958489766925dd4a4,4,6,29,85,OK
cross,go-vikunja/vikunja,945,1154,CLEAN,false,false,2026-09-16T23:35:05.884024+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,4172da6911dd3ef9cee7094837f7c3066dc4a40a,f94fe47f4c4e48851bcef5995881b945e2c8bbbc,4172da6911dd3ef9cee7094837f7c3066dc4a40a,f94fe47f4c4e48851bcef5995881b945e2c8bbbc,e67c035d92e44b31264dbd86b5b8d355c7e8a718,36df5d8c41e6a7157dc250c4e7951d9e9c91415e,719cb11d44985b3fb812ebf50f3a74ce39cece72,2,2,309,1621,OK
cross,ray-project/ray,53690,54238,CLEAN,false,false,2026-09-16T23:35:10.703091+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,4e4f54fd294e93c7cad3a15c925eecb1df0926d4,fe029008bef3a6e0c5533bd3922aa657c11d5fa5,4e4f54fd294e93c7cad3a15c925eecb1df0926d4,fe029008bef3a6e0c5533bd3922aa657c11d5fa5,ec1f2a4a5126d244a9893fe7196f7dff851e2d48,c07376b63d2d5e2229a9a6b856d59094a7cf73c3,6f0ce28e8a4a615f1f3762cc9672fa50f20f749e,11,31,1064,5419,OK
cross,mautic/mautic,15078,15249,CONFLICT,true,true,2026-09-16T23:35:41.448246+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,46d91c0ce20bc480e337dd94068a306efed05ead,1cbc445916bf2c8339294238e34be86c94ac513b,46d91c0ce20bc480e337dd94068a306efed05ead,1cbc445916bf2c8339294238e34be86c94ac513b,7a130192995ed1dc9339e7e80c87f5b1cc062955,c19166622d55d146651052641e20cd111b1cc8cd,65ff308ac37bdb15a76ca79e6d1c11bcbe1382dd,1387,9806,2,2,OK
cross,celestiaorg/celestia-core,1902,2046,CLEAN,false,false,2026-09-16T23:36:07.966977+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,2c727f9985c3b7fe49f48dfbc82a8d2416262130,293d772a5543c51a500391d5e1e1be24b44a6be3,2c727f9985c3b7fe49f48dfbc82a8d2416262130,293d772a5543c51a500391d5e1e1be24b44a6be3,2d7d1ea17b5dbfa01743b59fcf9b53821b387cf4,2d7d1ea17b5dbfa01743b59fcf9b53821b387cf4,2d7d1ea17b5dbfa01743b59fcf9b53821b387cf4,2,5,1,1,OK
cross,Rello/analytics,517,518,CONFLICT,true,true,2026-09-16T23:36:14.782651+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,6280cc967452d1c2cb8d01a12c77ef8148bcfdbc,e820fa45ac1a58c4f590498a609a48813e9fe4be,6280cc967452d1c2cb8d01a12c77ef8148bcfdbc,e820fa45ac1a58c4f590498a609a48813e9fe4be,f14c963239d30cbf1ea061571be231319687029a,d653a78a6b6fb60f058db345f1305a6312422007,d653a78a6b6fb60f058db345f1305a6312422007,195,421,7,18,OK
cross,gofiber/fiber,3508,3582,CLEAN,false,false,2026-09-16T23:36:17.763055+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,08390f54c7a3596ec191a674d31a9b4873a8bbcb,d124c9a83fe223c1a738a97612947fd5ae95f84d,08390f54c7a3596ec191a674d31a9b4873a8bbcb,d124c9a83fe223c1a738a97612947fd5ae95f84d,30dee26ac114cf198fb7215049d907118d3783e9,8503eeffca34a1f12b4d427541d22fde5be2d11c,8503eeffca34a1f12b4d427541d22fde5be2d11c,78,469,8,8,OK
cross,yytypescript/book,981,987,CLEAN,false,false,2026-09-16T23:36:21.173095+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,b5061cf1d6e4dd6a5c0e9c085f9c6df449373c3d,a22aefd52572534be14ea8edc5f0db9e55119ed0,b5061cf1d6e4dd6a5c0e9c085f9c6df449373c3d,a22aefd52572534be14ea8edc5f0db9e55119ed0,f8e2f47774316978144c8082cc0cb7cc515de8f6,8c9f62ceed98f6e21e4f421c2e2be1c48ce6df55,f8e2f47774316978144c8082cc0cb7cc515de8f6,1,1,7,10,OK
cross,kingstinct/react-native-healthkit,183,184,CLEAN,false,false,2026-09-16T23:36:25.768434+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,9dcb61d8254cda4f4f55c396358be8b09bfeebee,d821d45e9eac788dce8bbbc39a0afd54e0679b97,9dcb61d8254cda4f4f55c396358be8b09bfeebee,d821d45e9eac788dce8bbbc39a0afd54e0679b97,4aed3031d5089670462e0d588a411518bfd8cb6b,66c34fa5bcbbf5d1833f25ffb90e799016beaaa6,4aed3031d5089670462e0d588a411518bfd8cb6b,0,0,1,2,OK
cross,specmatic/specmatic,1924,1947,CLEAN,false,false,2026-09-16T23:36:28.783179+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,f8c5d61ba3e2021d8352d326d541b2a678d8ee7f,a98db0747e1bf723bc834efccf7a3139d334f00f,f8c5d61ba3e2021d8352d326d541b2a678d8ee7f,a98db0747e1bf723bc834efccf7a3139d334f00f,4ec6a5d0655cc04a135fa02db335b3750bc0a0a6,ecc0f2e34a9831903c773db89a3eadb3ac8aec9e,4ec6a5d0655cc04a135fa02db335b3750bc0a0a6,6,12,65,189,OK
cross,nrwl/nx,31591,32088,CLEAN,false,false,2026-09-16T23:36:31.661579+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,940535aa6a4354b947bc37c65d0a074d2044a394,7da286e9a2810160babf5deb269921b6ec65194d,940535aa6a4354b947bc37c65d0a074d2044a394,7da286e9a2810160babf5deb269921b6ec65194d,db86a355c66edc1f4ce0dddc65e29578ea4654f5,a626ee17f7aaa9a8de2e249ef908615a72a91e41,7c5faba41be362a24548fe779d6599f205c98e98,1,4,2868,12464,OK
cross,tokens-studio/figma-plugin,3366,3391,CONFLICT,true,true,2026-09-16T23:38:11.226730+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,8b24f4f3cf6e0381b02b745d16f7ffb3d4e14411,76dd64a6a27a820d3fbc2c10f5bb687b4f1aa171,8b24f4f3cf6e0381b02b745d16f7ffb3d4e14411,76dd64a6a27a820d3fbc2c10f5bb687b4f1aa171,8a2824d968d276ab0323cf2d5c9b19149f85f29c,d2e97fd6f3c52e995eeb35eabdf94471013255b7,8a2824d968d276ab0323cf2d5c9b19149f85f29c,6,31,35,79,OK
cross,microsoft/playwright,36050,36366,CLEAN,false,false,2026-09-16T23:38:15.110466+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,569e3d0714117f41190d95f1679a59defea1b2cd,3d5e8e6f1fbff91957fdb76f5abf6b76b730495a,569e3d0714117f41190d95f1679a59defea1b2cd,3d5e8e6f1fbff91957fdb76f5abf6b76b730495a,5efd582814984e1c57990d5732487cbbb995f1b1,5f65f32d26f99a8c7243e7ec0bf75f835d789030,5efd582814984e1c57990d5732487cbbb995f1b1,5,6,313,3310,OK
cross,johnlindquist/kit,1589,1590,CLEAN,false,false,2026-09-16T23:38:22.186930+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,4f90a1a2d43301ec6f6d69b968e458efa42500ac,351f3678a6d42757ef6bdfa62b8d0cdb51456fc9,4f90a1a2d43301ec6f6d69b968e458efa42500ac,351f3678a6d42757ef6bdfa62b8d0cdb51456fc9,42dcb24dd90c9cf87f10caa79bcb381954ef5c99,176be59a26fdd23360da5736a5914f38646e2aca,35921f453e40fbd9aa040565478d678bb3328e20,1,1,3,22,OK
cross,huggingface/huggingface_hub,3106,3108,CLEAN,false,false,2026-09-16T23:38:24.581267+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,1746c52251b842e541e4ce19861b201e6bee987f,b6fb21b7ea84d7d5f8bc9389304ea5b0e68a25ee,1746c52251b842e541e4ce19861b201e6bee987f,b6fb21b7ea84d7d5f8bc9389304ea5b0e68a25ee,1ebdbf9517797756105058ffd2f92723ff908e46,1ebdbf9517797756105058ffd2f92723ff908e46,1ebdbf9517797756105058ffd2f92723ff908e46,1,6,2,7,OK
cross,Skyscanner/turbolift,173,176,CLEAN,false,false,2026-09-16T23:38:27.678063+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,2412b443b0b53e6ce2d5c8162323a67e13a9a257,a19cd0017800fb2f370318fa40c44f8111b859b4,2412b443b0b53e6ce2d5c8162323a67e13a9a257,a19cd0017800fb2f370318fa40c44f8111b859b4,c542eb563273bba0baefd66443eab4a299f1d430,ecd25bf57cb648cc8ea11d6724082036313bdd3c,ecd25bf57cb648cc8ea11d6724082036313bdd3c,3,5,2,4,OK
cross,YunaiV/ruoyi-vue-pro,906,907,CLEAN,false,false,2026-09-16T23:38:30.624095+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,2fe2439a69f75d80da996c6bd655a128463ae502,e0e4f3251de5f77b75a501bbacb2bab6f2615a23,2fe2439a69f75d80da996c6bd655a128463ae502,e0e4f3251de5f77b75a501bbacb2bab6f2615a23,68645c2db02d32f13f5ef1d31fbfa7d5a81086ae,68645c2db02d32f13f5ef1d31fbfa7d5a81086ae,68645c2db02d32f13f5ef1d31fbfa7d5a81086ae,1,33,8,10,OK
